epoch,train_loss,val_loss,mae,rmse,lr
1,0.033752754553692574,0.009824226553448372,0.077241465,0.099117234,0.001
2,0.014174681941024316,0.009684765835603078,0.07644976,0.09841121,0.001
3,0.012928670589570646,0.008742500438044469,0.072169,0.093501344,0.001
4,0.012328638695180416,0.008531648862279124,0.07149122,0.09236693,0.001
5,0.012344966428699316,0.009297036545144187,0.07539328,0.096421145,0.001
6,0.012427154229378994,0.01029982150842746,0.07999177,0.10148804,0.001
7,0.012058034288570468,0.009262504563149478,0.07491738,0.09624191,0.001
8,0.011611970537054686,0.008413826529350545,0.07128509,0.091726914,0.001
9,0.012754787574809643,0.00898568231302003,0.07391177,0.09479284,0.001
10,0.011940093090136846,0.008770076713214317,0.07246748,0.09364869,0.001
11,0.01171231906125207,0.008540317167838414,0.07189726,0.092413835,0.001
12,0.011741495245124823,0.009130245923168129,0.074219055,0.09555232,0.001
13,0.012374358214897874,0.008565776132875019,0.07141218,0.09255147,0.001
14,0.011555798777183632,0.008419151262690624,0.071279645,0.09175593,0.001
15,0.011222735360080813,0.008389937256773313,0.07123736,0.0915966,0.0005
16,0.011305465546931013,0.008593491382069059,0.07205916,0.092701085,0.0005
17,0.01122211703547725,0.008407077938318252,0.07156581,0.091690116,0.0005
18,0.011034930971117667,0.008738525242855151,0.072838254,0.09348009,0.0005
19,0.01095118225540644,0.008505829558190372,0.071875736,0.09222706,0.0005
20,0.011249728942358936,0.008483121130201552,0.07183694,0.09210386,0.0005
21,0.01108070842369839,0.008429230397774113,0.07165833,0.09181084,0.0005
22,0.010927656003170543,0.008809342504375511,0.073346235,0.0938581,0.00025
23,0.010919041968422171,0.008372191277643045,0.07148411,0.09149968,0.00025
24,0.010833913214320754,0.008404049256609546,0.0715273,0.0916736,0.00025
25,0.010715706703931462,0.008361735039701064,0.07143438,0.091442525,0.00025
26,0.010880258746077249,0.008661152970873647,0.072786376,0.093065314,0.00025
27,0.010856712070282227,0.008370828669932153,0.07151631,0.091492236,0.00025
28,0.010847697503588818,0.008383193436182207,0.07157748,0.09155978,0.00025
29,0.01077432464118357,0.00843461448740628,0.07174988,0.09184016,0.00025
30,0.010774368301815825,0.00842430784056584,0.071700886,0.09178403,0.00025
31,0.01086921968071917,0.00846561442853676,0.07175265,0.09200877,0.00025
32,0.010771484661525414,0.008384264633059501,0.07147539,0.09156563,0.000125
33,0.01079757799865839,0.008357188581592507,0.07143579,0.09141766,0.000125
34,0.010895164374170112,0.0083875747397542,0.07160408,0.09158371,0.000125
35,0.010877816926366017,0.008400230244215991,0.071562015,0.09165277,0.000125
36,0.010710541080729462,0.008474962154610289,0.07199488,0.09205955,0.000125
37,0.01046336645513405,0.00848062527883384,0.071901895,0.09209031,0.000125
38,0.010895136329862807,0.00838897025419606,0.0715857,0.09159132,0.000125
39,0.01055727971970667,0.008371410229139857,0.07164666,0.09149541,0.000125
40,0.010648127431394877,0.008353066206392314,0.07157619,0.09139511,6.25e-05
41,0.010640225821623096,0.0084233566497763,0.07178769,0.091778845,6.25e-05
42,0.010515971671513937,0.008411961028145419,0.07175652,0.091716744,6.25e-05
43,0.01061534072605916,0.008346324258794387,0.07149822,0.09135822,6.25e-05
44,0.01066069704606945,0.008359049457228845,0.07152156,0.09142784,6.25e-05
45,0.01046541868996473,0.00840681962048014,0.07177322,0.09168871,6.25e-05
46,0.010694605916922475,0.008539307427903016,0.072338976,0.092408374,6.25e-05
47,0.01050778657519891,0.008368566249393755,0.071637,0.09147987,6.25e-05
48,0.010630805496080422,0.008385649240679211,0.07172667,0.09157319,6.25e-05
49,0.010758343223988274,0.008361306476096312,0.071545556,0.09144018,6.25e-05
50,0.01064433045455335,0.00835846597328782,0.07153435,0.091424644,3.125e-05
51,0.010521648325210001,0.008344534805251493,0.071527034,0.091348425,3.125e-05
52,0.010577253479924466,0.008364519487238592,0.07166142,0.09145775,3.125e-05
53,0.01050641956842608,0.008359897333300776,0.07164332,0.091432475,3.125e-05
54,0.010540618441631028,0.00835778195824888,0.071551144,0.091420904,3.125e-05
55,0.01081959673743925,0.008377640953080521,0.071594104,0.09152945,3.125e-05
56,0.010771481557116833,0.008348735877209239,0.0715584,0.09137141,3.125e-05
57,0.010514432493091365,0.008351982074479262,0.07152824,0.09138918,3.125e-05
58,0.010483175893256693,0.008349319795767467,0.071561314,0.091374606,1.5625e-05
59,0.01045232723340576,0.00836106234540542,0.07154606,0.091438845,1.5625e-05
60,0.010647161012906352,0.008350382776310046,0.0715281,0.091380425,1.5625e-05
61,0.010626780570565183,0.0083478599269357,0.07154178,0.09136662,1.5625e-05
62,0.0105957295515655,0.00836053222624792,0.0715557,0.09143594,1.5625e-05
63,0.01045850619075843,0.008357671110166444,0.07162418,0.09142031,1.5625e-05
